-8,-12,1.9224,5.62902,3.46037e-06
-8,-12,1.9218,5.62945,4.18366e-06
-8,-12,1.92066,5.63005,7.3194e-06
-8,-12,-6.28737,-10.6657,8.482e-06
6,-12,-4.4242,5.43613,5.30418e-06
6,-12,-4.42344,5.43673,3.64441e-06
6,-12,-4.42395,5.43633,1.02468e-06
6,-12,5.72777,-10.0389,6.72151e-06
-4,-10,0.416574,6.43142,0.0125835
-4,-10,0.345982,6.4492,1.57167e-05
-4,-10,0.346868,6.44966,6.61502e-06
-4,-10,0.34842,6.44919,1.64909e-06
-4,-10,-3.03917,-10.465,1.92636e-06
10,-10,-5.81406,4.21374,2.31982e-06
10,-10,-5.81383,4.2142,8.42604e-07
10,-10,-5.81377,4.21403,7.99512e-06
10,-10,8.62791,-7.9993,4.39075e-06
0,-8,-2.6114,6.60692,6.39949e-06
0,-8,-2.61091,6.60717,9.84582e-06
0,-8,-2.63353,6.60265,0.000668956
0,-8,-2.61515,6.60627,7.57995e-06
0,-8,1.47541,-9.61231,8.95755e-06
-10,-6,4.21747,3.90684,7.93805e-07
-10,-6,4.21754,3.90705,5.86944e-06
-10,-6,-9.54281,-6.4498,5.24521e-06
4,-6,-5.79298,4.86407,6.78027e-06
4,-6,-5.79417,4.86277,2.07631e-07
4,-6,-5.79436,4.86246,2.39302e-06
4,-6,6.0446,-6.97404,2.20909e-06
-6,-4,3.85743,4.96404,3.11498e-06
-6,-4,3.85442,4.96703,5.99681e-06
-6,-4,3.85632,4.96474,5.68016e-08
-6,-4,3.85484,4.96598,5.9855e-06
-6,-4,-7.52575,-6.63024,1.50306e-06
8,-4,-7.18211,2.52313,7.62916e-05
8,-4,8.87832,-3.93308,6.47394e-06
-2,-2,-0.330093,7.48749,0.0720579
-2,-2,-0.531058,7.50783,0.0456465
-2,-2,-0.554841,7.50658,0.0427409
-2,-2,-0.794458,7.52254,0.020379
-2,-2,-1.09876,7.53055,0.0036782
-2,-2,-1.08715,7.52814,0.00394081
-12,0,5.48515,6.79034e-05,1.01714e-06
-12,0,-11.7376,0.00220779,8.58043e-06
2,0,2.78845,0.220248,0.0775265
2,0,2.78845,-0.220248,0.0775259
2,0,2.54452,1.2982,5.82533e-05
2,0,2.54452,-1.2982,5.82347e-05
2,0,7.59125,0.00566727,7.44917e-06
2,0,-8.34043,-0.00312948,4.03568e-06
-8,2,2.74772,0.529619,0.068878
-8,2,5.47319,-2.19031,8.98606e-06
-8,2,5.4713,-2.19655,9.87274e-06
-8,2,-10.036,3.04366,6.27161e-06
6,2,2.70581,1.08663,0.0347338
6,2,2.68304,1.20366,0.0641935
6,2,-7.66464,-1.68594,4.65909e-06
6,2,8.49842,2.35321,6.51612e-06
-4,4,2.07917,-6.42439,8.77714e-06
-4,4,2.07805,-6.42471,6.49983e-06
-4,4,2.07136,-6.42822,6.70907e-06
-4,4,2.0688,-6.43021,1.80428e-05
-4,4,-4.88807,8.04886,6.39749e-06
-4,4,-4.88721,8.04918,7.38283e-06
10,4,2.5792,1.65546,0.0214825
10,4,2.5705,1.68431,0.00108605
10,4,-7.20871,-2.13041,3.02639e-06
10,4,9.733,3.5643,8.93163e-06
0,6,-3.22028,-6.63476,6.08416e-06
0,6,-3.22406,-6.6335,1.93091e-06
0,6,-3.22555,-6.63316,6.57856e-06
0,6,2.04403,8.81818,9.71075e-06
0,6,2.03573,8.81975,6.01708e-06
-10,8,3.57259,-4.52893,2.65408e-07
-10,8,3.57228,-4.52947,4.89411e-06
-10,8,-8.86455,7.91654,5.08407e-06
4,8,2.44096,2.01116,0.00451826
4,8,-4.95247,-5.40581,6.01938e-06
4,8,-4.95326,-5.4053,8.67776e-07
4,8,-4.95202,-5.40639,6.5235e-06
4,8,5.29422,8.3229,3.68959e-06
-6,10,1.47397,-6.03567,9.98449e-06
-6,10,1.47255,-6.03629,3.00759e-06
-6,10,1.47215,-6.03651,8.43365e-06
-6,10,-5.0034,10.1347,8.13904e-06
